名稱,類別,公私立,縣市,經度,緯度
淡水區第七公墓,公墓,公立,新北市,0.7194582899533409,0.9741717625303615
中和區第七公墓,公墓,公立,新北市,0.719152801162495,0.8812404699628411
私立宜城公墓,公墓,私立,新北市,0.7155407766086833,0.9553676711343653
淡水區第十公墓,公墓,公立,新北市,0.7133760198321885,0.9505314590241909
淡水第一公園化公墓附設納骨塔,骨灰(骸)存放設施,公立,新北市,0.7128405366068635,0.9820383078635141
三芝區第三公墓,公墓,公立,新北市,0.7128118604559964,0.9872147580249004
淡水聖賢祠,骨灰(骸)存放設施,公立,新北市,0.711796549147116,0.9770928571932269
私立長青孝園公墓,公墓,私立,新北市,0.7099208362667826,0.9110767298382888
淡水區第一公園化公墓,公墓,公立,新北市,0.7087293129369758,0.9840374580697429
新店五城花園公墓納骨塔（原永和市第一花園公墓納骨塔）,骨灰(骸)存放設施,公立,新北市,0.7086836651866271,0.8586232965017923
新店區五城花園公墓,公墓,公立,新北市,0.7086836651866271,0.8586232965017923
私立安康墓園,公墓,私立,新北市,0.7085279946533556,0.8580732785397155
私立觀自在金龍寶塔,骨灰(骸)存放設施,私立,新北市,0.7083881252644483,0.866315494999235
私立觀音山福園,公墓,私立,新北市,0.7071731928318957,0.9121429432816114
私立慈安墓園,公墓,私立,新北市,0.7063772833385066,0.9153431942059032
土城區第十一公墓,公墓,公立,新北市,0.7032135431023008,0.8736904064146028
土城公有靈恩納骨塔,骨灰(骸)存放設施,公立,新北市,0.7009748720838804,0.8735971127383119
淡水區第四公墓,公墓,公立,新北市,0.7009748720838804,0.9590767088060074
淡水區第九公墓,公墓,公立,新北市,0.7009748720838804,0.9590767088060074
淡水區第一公墓,公墓,公立,新北市,0.7009748720838804,0.9590767088060074
淡水區第十二公墓,公墓,公立,新北市,0.7009748720838804,0.9590767088060074
淡水區第五公墓,公墓,公立,新北市,0.7009748720838804,0.9590767088060074
淡水區第六公墓,公墓,公立,新北市,0.7009748720838804,0.9590767088060074
新北市立殯儀館,殯儀館,公立,新北市,0.7007128657013914,0.8941932721751656
土城區第四公墓,公墓,公立,新北市,0.7003716780288555,0.8716373012984767
五股區第一公墓,公墓,公立,新北市,0.699349987739481,0.9272447615021306
五股孝恩納骨堂,骨灰(骸)存放設施,公立,新北市,0.699151829684727,0.9279071184183939
私立關渡龍園,骨灰(骸)存放設施,私立,新北市,0.6972178866613168,0.9325801773234196
淡水區第八公墓,公墓,公立,新北市,0.6961340452041472,0.9572283102286223
淡水區第三公墓,公墓,公立,新北市,0.6945609534995688,0.9671153461428138
土城區第十公墓,公墓,公立,新北市,0.6916342304286732,0.8705058587849812
土城區第九公墓,公墓,公立,新北市,0.6914762189851331,0.8691900032212442
八里慈恩納骨塔,骨灰(骸)存放設施,公立,新北市,0.6859275593610973,0.9412136876742618
土城區第八公墓,公墓,公立,新北市,0.6849128918025373,0.8595795868824159
新莊區第一公墓,公墓,公立,新北市,0.6842554471518993,0.8912542596504313
三峽區第四公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第八公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第七公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第十一公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第十五公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第十二公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第十三公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第十公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第九公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第六公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第五公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第十四公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第二公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
三峽區第一公墓,公墓,公立,新北市,0.6809111056879967,0.8297864506700274
泰山區第一公墓,公墓,公立,新北市,0.6775665301330722,0.9051588425792688
樹林區第三公墓,公墓,公立,新北市,0.6771211941886791,0.8823859717755257
新莊生命紀念館,骨灰(骸)存放設施,公立,新北市,0.6767009785590129,0.8952840471819493
樹林區第五公墓,公墓,公立,新北市,0.6759282201667446,0.877519097448922
樹林區第二公墓,公墓,公立,新北市,0.674760361387377,0.8869587529208128
樹林示範公墓納骨塔,骨灰(骸)存放設施,公立,新北市,0.6684972477722207,0.884568666195176
八里區第一公墓,公墓,公立,新北市,0.6684609743921969,0.9429395200234942
樹林區第六公墓,公墓,公立,新北市,0.6677657663324557,0.873231309684871
新北市立殯儀館附設火化場(三峽昇華園),火化場,公立,新北市,0.6648852339476423,0.8571069219445602
林口區第三公墓,公墓,公立,新北市,0.6625140674076828,0.9214820147414905
林口區第二公墓,公墓,公立,新北市,0.6625140674076828,0.9214820147414905
私立佛教樂山公墓,公墓,私立,新北市,0.6604878339966842,0.8707732174429746
樹林區第七公墓,公墓,公立,新北市,0.6593270448299292,0.8705213930022262
樹林區第八公墓,公墓,公立,新北市,0.6561625242664818,0.8689079039958149
三峽區第十六公墓,公墓,公立,新北市,0.6528792903764531,0.8422733482089121
林口區第一公墓,公墓,公立,新北市,0.6524772390367799,0.9166853024571426
三峽生命紀念館,骨灰(骸)存放設施,公立,新北市,0.6514759146668168,0.8444668166204842
鶯歌區第二公墓,公墓,公立,新北市,0.6408698354398608,0.8650169533244951
鶯歌區第三公墓(附設納骨堂),公墓,公立,新北市,0.6408698354398608,0.8650169533244951
鶯歌區第一公墓(含示範公墓),公墓,公立,新北市,0.6408698354398608,0.8650169533244951
鶯歌示範公墓納骨塔,骨灰(骸)存放設施,公立,新北市,0.6340725342753142,0.8672418685902678
私立林口頂福陵園,公墓,私立,新北市,0.6323991345654668,0.9199178860625142
三峽示範公墓納骨塔,骨灰(骸)存放設施,公立,新北市,0.6323869618320377,0.8469493061837243
三峽區第三公墓(示範公墓),公墓,公立,新北市,0.6323869618320377,0.8469493061837243
臺中市生命禮儀管理所--大甲火化場,火化場,公立,臺中市,0.22114509137450106,0.6236683870627849
八德安樂園火葬場,火化場,私立,臺南市,0.06788235989505537,0.10128439844633395
高雄市岡山區納骨塔,骨灰(骸)存放設施,公立,高雄市,0.03494399664781039,0.0
路竹第四公墓納骨塔,骨灰(骸)存放設施,公立,高雄市,0.0,0.01892585232698557
